distance_km,current_speed,preceding_gap_km,signal_aspect,congestion_index,weather_impact,speed_restriction,actual_time_mins
68,105.92,17.38,2,0.43,1.0,30,145.09
68,50.8,5.95,2,0.77,1.0,110,94.05
15,49.95,2.27,2,0.37,1.0,110,35.55
68,44.72,10.91,2,0.46,1.0,110,100.93
15,95.23,12.27,2,0.84,1.2,110,24.12
62,65.9,2.63,2,0.57,1.0,50,133.91
76,43.13,19.52,2,0.41,1.0,80,114.24
68,87.4,15.93,2,0.3,1.5,80,84.27
76,51.72,24.36,1,0.98,1.0,50,168.58
84,67.16,5.68,0,0.78,1.0,80,138.63
55,98.48,10.52,2,0.53,1.0,110,42.55
84,107.28,10.96,2,0.41,1.0,50,108.99
68,77.26,5.87,1,0.85,1.0,110,101.98
55,63.97,8.22,2,0.6,1.0,110,63.17
55,71.08,16.4,2,0.46,1.5,110,79.66
62,72.3,18.81,1,0.87,1.2,110,119.87
84,103.66,18.61,2,0.88,1.0,110,64.13
76,72.67,2.79,2,0.95,1.0,30,269.3
76,100.45,15.54,2,0.36,1.0,110,53.0
68,65.36,18.69,2,0.51,1.0,110,69.66
76,96.46,12.96,2,0.15,1.0,110,50.55
15,57.92,2.71,2,0.3,1.2,110,36.76
15,88.14,18.62,2,0.22,1.0,80,15.94
15,107.02,2.2,2,0.71,1.2,80,36.0
84,91.65,21.19,2,0.23,1.2,110,72.61
76,89.0,4.4,2,0.75,1.0,110,99.36
15,61.43,14.63,2,0.62,1.0,30,40.57
62,95.62,18.26,0,0.17,1.0,80,82.32
76,100.44,11.23,1,0.24,1.0,30,260.04
68,84.83,24.52,2,0.42,1.0,50,90.21
68,90.39,21.94,2,0.84,1.0,110,57.21
15,97.58,20.49,2,0.57,1.0,110,21.55
62,68.1,5.65,2,0.84,1.2,80,79.3
68,75.78,3.08,1,0.74,1.0,110,102.57
68,63.83,23.63,0,0.94,1.2,50,180.34
76,95.23,22.51,2,0.92,1.0,110,63.86
55,48.12,2.97,2,0.94,1.2,110,152.8
84,86.65,24.22,2,0.96,1.2,80,91.33
55,73.28,16.59,2,0.19,1.0,80,49.88
62,84.41,19.73,0,0.87,1.0,110,89.66
76,99.52,6.88,2,0.53,1.2,50,120.29
62,67.63,23.41,1,0.76,1.5,30,325.05
76,89.92,6.58,2,0.36,1.0,30,159.42
76,46.99,17.83,1,0.92,1.2,110,208.88
15,68.95,13.34,2,0.58,1.0,30,41.21
76,67.84,19.53,2,0.34,1.0,50,98.27
76,48.79,2.39,2,0.83,1.0,80,170.27
76,84.93,15.12,2,0.7,1.0,110,67.69
84,41.65,22.67,2,0.8,1.0,80,134.64
68,105.62,15.88,2,0.15,1.0,110,42.76
68,56.74,14.21,2,0.68,1.0,110,84.77
62,102.73,21.49,2,0.35,1.5,110,60.68
76,67.17,17.5,1,0.41,1.5,80,178.86
68,88.3,17.87,2,0.55,1.0,30,146.14
68,107.06,14.18,1,0.55,1.0,30,237.77
62,78.28,6.15,2,0.6,1.2,80,67.48
55,43.5,21.4,2,0.81,1.2,50,103.65
68,104.36,6.05,1,0.11,1.0,110,69.3
55,103.55,23.71,2,0.57,1.5,110,58.26
76,57.31,16.73,2,0.25,1.0,110,84.02
15,82.21,21.21,2,0.44,1.0,110,19.6
84,57.77,7.65,2,0.91,1.0,110,101.5
15,67.85,23.15,2,0.14,1.2,80,21.44
84,44.04,12.22,1,0.66,1.5,80,297.41
55,65.1,17.1,1,0.27,1.5,50,169.56
68,56.01,24.0,1,0.71,1.0,80,134.12
84,79.43,11.83,2,0.86,1.0,80,79.71
62,102.22,14.52,1,0.33,1.0,110,67.06
15,54.5,3.64,0,0.95,1.0,80,44.16
55,90.87,19.8,2,0.84,1.0,80,56.29
55,59.77,11.78,0,0.22,1.2,30,225.92
55,90.62,6.61,1,0.11,1.0,110,61.77
15,91.05,24.24,1,0.7,1.2,110,30.49
15,97.26,7.81,1,0.21,1.0,110,19.94
76,108.94,19.35,2,0.63,1.0,30,165.28
84,58.83,13.9,1,0.67,1.0,80,155.15
76,84.25,4.99,2,0.8,1.2,50,196.39
62,88.8,18.43,2,0.93,1.0,110,58.27
15,64.12,2.71,0,0.23,1.0,110,29.55
55,106.3,13.41,2,0.25,1.2,110,44.1
62,41.12,19.99,1,0.82,1.0,110,165.16
55,97.2,14.57,2,0.15,1.0,110,37.25
15,48.29,24.11,2,0.96,1.0,110,35.57
76,60.3,22.04,2,0.82,1.0,110,90.88
84,99.55,24.58,2,0.32,1.0,50,107.59
55,64.71,16.29,2,0.76,1.0,30,123.15
84,64.91,3.93,2,0.71,1.0,50,180.81
76,87.0,16.54,1,0.48,1.2,50,191.51
55,62.77,23.65,2,0.11,1.0,110,56.34
76,68.25,18.97,2,0.48,1.0,80,75.08
84,82.38,13.89,2,0.67,1.0,110,73.48
84,45.29,23.88,1,0.18,1.0,110,189.14
62,58.72,2.35,2,0.33,1.0,110,110.9
76,57.47,2.05,1,0.21,1.0,110,138.26
84,91.56,22.31,1,0.63,1.2,110,121.3
76,105.54,14.47,2,0.3,1.2,110,58.28
15,108.39,4.34,0,0.49,1.0,110,23.06
76,70.41,18.64,0,0.63,1.0,110,120.23
62,89.06,6.69,2,0.84,1.0,110,56.24
15,58.96,7.69,0,0.51,1.2,110,39.98
84,81.64,10.56,2,0.9,1.0,80,79.36
84,83.17,19.09,2,0.57,1.0,80,72.85
68,54.44,20.39,2,0.88,1.5,110,128.61
84,89.38,11.83,2,0.68,1.5,30,264.03
62,75.01,20.06,2,0.28,1.0,80,55.34
76,47.38,19.58,2,0.69,1.0,50,108.56
55,44.93,6.27,2,0.89,1.2,110,103.2
76,104.72,12.2,2,0.33,1.2,30,188.73
68,97.97,6.97,2,0.81,1.0,80,64.22
68,47.18,11.03,2,0.55,1.0,110,96.0
62,101.91,9.93,2,0.47,1.0,80,53.27
15,66.94,13.26,2,0.77,1.2,110,28.57
76,76.05,5.71,0,0.12,1.0,110,102.99
76,80.75,4.72,1,0.38,1.0,50,158.44
84,63.5,19.24,2,0.99,1.0,110,96.57
62,52.02,13.5,2,0.88,1.0,110,87.56
55,88.76,13.4,2,0.5,1.5,110,65.49
84,54.3,13.68,2,0.12,1.2,30,204.92
55,68.57,22.37,1,0.74,1.2,110,110.45
55,97.5,21.4,2,0.4,1.2,80,58.32
84,97.44,11.31,2,0.11,1.0,110,54.07
76,99.35,14.55,2,0.51,1.0,110,55.39
76,109.8,14.86,2,0.3,1.0,80,63.28
84,65.86,3.04,2,0.94,1.0,110,142.96
68,66.13,16.54,0,0.19,1.0,110,109.17
55,64.51,17.58,2,0.11,1.0,110,52.64
84,51.89,6.48,2,0.77,1.5,110,161.01
76,99.68,14.46,2,0.38,1.0,110,54.46
84,52.98,15.79,2,0.88,1.2,110,131.47
62,66.8,20.9,2,0.82,1.0,110,71.36
84,105.73,16.64,2,0.34,1.0,110,55.27
15,44.42,19.87,2,0.52,1.5,110,38.76
62,88.93,10.47,2,0.13,1.0,30,127.59
55,84.1,21.74,2,0.49,1.0,110,49.02
55,70.55,17.34,0,0.77,1.2,110,107.75
84,109.83,7.55,0,0.47,1.0,30,290.09
84,99.44,11.34,0,0.17,1.0,30,283.55
84,40.37,23.58,2,0.46,1.0,30,178.04
55,92.97,12.17,2,0.45,1.0,110,44.62
84,72.85,12.19,2,0.87,1.0,110,82.21
15,43.73,12.46,2,0.71,1.0,110,33.23
68,85.1,24.41,0,0.6,1.2,110,105.6
68,52.55,18.22,2,0.7,1.2,50,111.99
76,71.84,17.77,2,0.68,1.5,110,108.19
62,80.08,8.37,2,0.62,1.0,80,57.07
76,101.67,22.31,2,0.29,1.2,110,60.02
84,91.62,8.59,2,1.0,1.0,110,72.26
55,44.37,9.71,0,0.98,1.2,110,165.5
15,61.42,14.69,2,0.47,1.0,80,23.66
76,108.12,19.46,2,0.5,1.0,110,50.84
15,84.14,7.05,0,0.84,1.0,80,34.26
15,49.6,15.36,2,0.23,1.0,80,25.09
15,101.28,12.16,2,0.46,1.2,80,21.2
68,80.2,17.35,2,0.88,1.0,110,65.51
55,109.26,22.46,2,0.28,1.0,110,33.01
84,86.07,4.69,2,0.21,1.0,80,108.69
15,103.23,22.47,2,0.56,1.2,110,20.59
76,78.69,10.56,2,0.23,1.0,50,97.61
15,99.8,13.29,2,0.91,1.0,110,22.67
15,66.22,20.35,2,0.18,1.0,110,19.2
55,52.26,17.47,1,0.3,1.2,50,138.74
76,66.36,7.34,1,0.6,1.0,80,125.89
62,106.4,23.73,2,0.93,1.2,110,58.8
15,70.1,15.73,2,0.79,1.0,110,28.25
55,87.21,19.55,0,0.68,1.0,110,76.83
55,43.52,2.8,2,0.49,1.2,50,160.9
84,92.76,6.96,2,0.52,1.2,110,75.87
62,67.45,19.27,1,0.8,1.0,110,107.41
55,98.45,23.33,2,0.39,1.2,80,57.05
84,64.16,2.69,2,0.7,1.5,80,208.44
68,85.74,6.42,1,0.66,1.0,110,91.85
76,107.44,2.24,2,0.74,1.0,110,83.53
62,59.47,5.27,2,0.86,1.0,110,77.85
62,105.0,3.42,0,0.25,1.0,50,129.73
15,71.41,23.0,1,0.1,1.0,110,23.26
84,103.31,20.8,2,0.15,1.0,50,105.9
55,57.46,18.49,2,0.42,1.2,80,76.6
15,53.34,6.25,2,0.49,1.2,50,30.58
15,74.01,4.69,2,0.95,1.0,110,37.74
62,78.27,22.76,2,0.76,1.0,110,62.75
76,101.11,14.03,2,0.47,1.0,110,53.96
55,46.91,3.74,2,0.18,1.0,50,121.68
84,81.64,18.99,0,0.69,1.0,50,180.65
55,57.24,11.74,2,0.13,1.2,50,81.89
62,43.52,3.21,2,0.51,1.0,110,152.62
15,102.84,19.14,0,0.91,1.2,50,50.05
68,62.97,6.81,0,0.52,1.0,110,117.23
55,80.35,19.52,2,0.35,1.0,30,115.92
55,105.36,17.73,2,0.13,1.0,80,45.64
62,63.25,23.35,2,0.3,1.0,110,64.36
84,43.08,17.95,2,0.31,1.0,110,123.49
55,66.14,7.87,1,0.42,1.0,110,91.15
15,59.47,6.99,1,0.6,1.0,110,35.8
55,89.71,4.2,2,0.97,1.0,80,84.79
62,102.03,23.49,2,0.67,1.0,80,58.78
55,94.67,11.16,2,0.9,1.0,30,127.2
62,56.6,4.48,2,0.55,1.0,50,132.53
62,80.11,9.48,0,0.34,1.0,110,84.93
76,62.7,7.38,1,0.87,1.2,80,160.21
84,71.81,19.94,2,0.27,1.0,80,75.3
84,105.7,6.17,2,0.3,1.0,110,53.03
55,79.58,12.17,2,0.75,1.0,80,54.46
68,43.67,5.67,2,0.17,1.0,110,97.85
68,56.2,21.97,2,0.48,1.0,30,145.44
68,40.68,21.73,2,0.95,1.2,80,137.46
76,67.84,24.4,2,0.35,1.2,80,86.83
15,53.61,4.14,2,0.25,1.0,80,33.31
62,46.68,12.35,2,0.88,1.0,50,94.74
62,86.4,22.02,2,0.75,1.0,110,54.92
55,96.38,19.48,1,0.23,1.0,80,74.54
15,48.79,5.94,2,0.63,1.0,110,28.55
76,48.55,4.56,2,0.89,1.2,50,201.94
76,47.39,3.04,2,0.58,1.0,30,264.3
76,108.41,20.26,2,0.62,1.2,80,76.75
55,93.76,11.99,2,0.66,1.0,110,46.93
84,59.53,4.97,0,0.64,1.0,80,152.8
68,102.29,24.82,1,0.29,1.2,80,109.24
76,50.62,22.46,2,0.79,1.0,30,166.29
76,59.31,19.68,1,0.72,1.0,110,140.17
55,85.53,6.88,1,0.73,1.0,110,77.98
62,81.59,11.46,1,0.13,1.0,110,79.8
62,69.85,14.61,1,0.37,1.0,110,97.49
55,96.42,15.62,1,0.12,1.0,110,61.25
15,50.03,18.44,1,0.57,1.0,110,40.89
68,61.55,21.26,2,0.62,1.0,110,76.83
15,91.01,9.44,2,0.6,1.0,50,28.64
76,104.7,12.6,2,0.39,1.2,110,59.05
84,40.0,18.38,2,0.33,1.0,110,131.87
55,107.03,15.01,2,0.18,1.0,80,44.34
68,67.29,13.04,1,0.17,1.2,110,127.36
84,77.23,22.09,2,0.62,1.2,80,88.86
55,100.17,15.62,2,0.43,1.2,110,46.32
76,88.54,18.11,2,0.89,1.0,110,65.6
76,93.72,9.07,2,0.82,1.0,50,105.9
62,76.65,8.49,1,0.35,1.2,110,103.57
84,84.64,20.86,0,0.55,1.0,80,115.18
15,85.71,5.54,2,0.59,1.0,110,20.66
84,103.79,2.48,2,0.15,1.2,110,102.55
